,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률,선수OPS,선수WAR
115,이재율,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
116,최용제,0.295,0.0,0.18181818181818182,0.0,0.20454545454545456,0.20454545454545456,0.28888888888888886,0.0,0.695,0.22
117,김찬형,0.29,0.0,0.1774193548387097,0.016129032258064516,0.16129032258064516,0.0967741935483871,0.2923076923076923,0.75,0.725,0.22
118,허도환,0.275,0.0,0.27450980392156865,0.0392156862745098,0.0196078431372549,0.09803921568627451,0.2962962962962963,0.0,0.6559999999999999,0.22
119,임병욱,0.27,0.0,0.2702702702702703,0.0,0.08108108108108109,0.16216216216216217,0.2702702702702703,1.0,0.72,0.22
120,이성곤,0.275,0.036231884057971016,0.2753623188405797,0.0,0.11594202898550725,0.13043478260869565,0.2714285714285714,1.0,0.759,0.21
121,김성민,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
122,김주형,0.233,0.023255813953488372,0.23255813953488372,0.046511627906976744,0.18604651162790697,0.13953488372093023,0.2608695652173913,0.0,0.6990000000000001,0.2
123,최지훈,0.254,0.0021691973969631237,0.17136659436008678,0.010845986984815618,0.13665943600867678,0.05856832971800434,0.25792811839323465,0.75,0.633,0.18
124,양석환,0.24600000000000002,0.025423728813559324,0.211864406779661,0.01694915254237288,0.06779661016949153,0.11016949152542373,0.2540983606557377,0.0,0.68,0.18
125,변상권,0.27399999999999997,0.016129032258064516,0.3225806451612903,0.0,0.11290322580645161,0.25806451612903225,0.27419354838709675,0.0,0.685,0.15
126,김지찬,0.233,0.003952569169960474,0.16996047430830039,0.007905138339920948,0.1857707509881423,0.05138339920948617,0.23461538461538461,0.84,0.575,0.14
127,정주현,0.25,0.012345679012345678,0.19444444444444445,0.009259259259259259,0.15432098765432098,0.09259259259259259,0.25,0.5333333333333333,0.6579999999999999,0.14
128,박정현,0.27899999999999997,0.01639344262295082,0.2786885245901639,0.0,0.09836065573770492,0.14754098360655737,0.2786885245901639,0.0,0.69,0.14
129,김은성,0.10562500000000002,0.008415887074987334,0.2739085692671548,0.0075336434256559415,0.08640007943211257,0.049886744242605335,0.10966536693274861,0.16130489182944677,0.2918883333333335,0.0
