순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
81,이천웅,17LLF,0.80,75,266,232,35,66,14,0,2,86,27,8,3,24,6,2,45,10,4,0,.284,.366,.371,.737,.335,93.0,0.80,2.38
82,손주인,17L2B,0.76,115,334,294,48,82,13,0,5,110,33,4,0,20,5,0,41,10,9,6,.279,.329,.374,.703,.310,77.3,0.76,-0.87
83,김문호,17롯LF,0.73,131,448,390,49,114,17,1,2,139,35,9,4,37,13,4,73,5,7,1,.292,.372,.356,.728,.333,89.6,0.73,0.35
84,심우준,17k3B,0.73,103,303,286,38,82,15,2,4,113,26,18,5,8,4,0,58,4,4,1,.287,.314,.395,.710,.314,74.8,0.73,-0.41
85,이상호,17N2B,0.72,95,241,227,33,76,8,0,0,84,15,12,2,7,2,0,15,7,5,0,.335,.360,.370,.730,.331,90.2,0.72,-0.47
86,정진호,17두RF,0.67,97,224,198,43,56,11,2,5,86,31,1,1,19,1,1,32,2,4,2,.283,.346,.434,.780,.339,98.2,0.67,0.67
87,김태군,17NC,0.66,132,420,362,33,96,19,0,3,124,34,0,1,16,22,0,43,11,18,2,.265,.333,.343,.676,.301,69.6,0.66,-1.47
88,황진수,17롯3B,0.65,60,133,117,18,34,6,2,1,47,16,4,0,10,3,0,38,2,2,1,.291,.359,.402,.761,.341,94.5,0.65,-0.50
89,이호준,17NDH,0.63,77,187,164,13,49,10,0,7,80,36,1,0,18,1,2,41,2,1,3,.299,.366,.488,.853,.367,113.3,0.63,0.99
90,김재율,17L1B,0.62,75,198,181,21,55,9,0,6,82,28,0,1,10,2,0,35,8,4,1,.304,.345,.453,.798,.347,103.8,0.62,-0.10
91,양성우,17한RF,0.60,118,417,358,42,99,26,1,2,133,40,4,4,38,12,0,51,8,7,2,.277,.363,.372,.735,.335,91.4,0.60,-0.16
92,김태완,17넥DH,0.59,46,100,90,14,28,5,0,4,45,7,0,0,9,1,0,24,2,0,0,.311,.380,.500,.880,.388,128.4,0.59,-0.26
93,박정권,17S1B,0.59,118,345,305,37,78,14,1,16,142,51,1,1,30,5,0,78,4,0,5,.256,.328,.466,.793,.344,96.3,0.59,0.28
94,서동욱,17K1B,0.58,125,366,319,49,90,21,1,7,134,48,1,1,33,3,0,86,5,8,3,.282,.352,.420,.772,.339,93.9,0.58,1.08
95,오태곤,17롯k1B,0.58,135,410,374,53,106,29,1,9,164,42,15,9,16,6,0,93,7,8,6,.283,.318,.439,.757,.326,82.9,0.58,0.32
96,김성욱,17NCF,0.58,124,347,308,60,76,18,4,6,120,31,10,4,24,9,1,59,4,1,5,.247,.315,.390,.705,.313,79.0,0.58,-1.13
97,정훈,17롯2B,0.56,68,136,109,16,27,8,2,1,42,6,3,1,18,5,0,28,4,3,1,.248,.376,.385,.761,.344,96.8,0.56,-0.69
98,최원준,17K3B,0.56,72,174,156,27,48,15,0,3,72,27,3,2,10,2,0,20,2,3,3,.308,.351,.462,.812,.352,102.8,0.56,0.33
99,김헌곤,17삼LF,0.54,123,404,356,51,94,13,2,9,138,47,11,2,29,8,0,45,11,8,3,.264,.331,.388,.718,.318,80.4,0.54,-0.51
100,허정협,17넥RF,0.53,83,266,228,35,54,9,0,9,90,39,1,2,24,12,1,73,2,1,1,.237,.340,.395,.734,.331,89.8,0.53,0.00
101,오재원,17두2B,0.52,127,390,334,43,79,16,1,7,118,40,7,7,47,2,1,85,5,4,3,.237,.332,.353,.685,.311,79.1,0.52,0.56
102,김성현,17S2B,0.48,130,429,380,45,103,14,0,4,129,29,2,1,34,4,1,28,8,7,3,.271,.335,.339,.674,.306,72.6,0.48,-1.13
103,김원석,17한RF,0.47,78,212,195,29,54,12,2,7,91,26,0,0,10,5,0,59,3,2,0,.277,.329,.467,.795,.345,97.2,0.47,1.11
104,최경철,17삼C,0.43,25,39,32,5,10,2,0,2,18,7,0,0,3,3,0,10,0,0,1,.313,.410,.563,.973,.419,146.5,0.43,0.27
