Date,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team
2019-04-20,키움,LG,이승호,배재준,서건창 김하성 박병호 샌즈 장영석 김규민 이지영 김혜성 박정음 ,이천웅 정주현 박용택 김현수 채은성 유강남 김민성 류형우 오지환 ,7,3,0
2019-04-20,NC,SK,김영규,문승원,박민우 노진혁 나성범 베탄코트 양의지 박석민 권희동 이원재 손시헌 ,김강민 고종욱 최정 한유섬 이재원 로맥 정의윤 김성현 나주환 ,4,10,1
2019-04-20,삼성,한화,최채흥,장민재,이학주 김상수 구자욱 러프 이원석 송준석 박계범 박해민 김민수 ,정은원 오선진 송광민 호잉 이성열 김태균 최진행 최재훈 양성우 ,5,12,1
2019-04-20,두산,KIA,이영하,홍건희,정수빈 페르난데스 박건우 김재환 오재일 허경민 박세혁 류지혁 김재호 ,최원준 나지완 안치홍 최형우 김주찬 이창진 김선빈 김민식 박찬호 ,10,1,0
2019-04-20,KT,롯데,김민,장시환,김민혁 황재균 강백호 로하스 유한준 박경수 문상철 이해창 심우준 ,전준우 아수아헤 손아섭 이대호 채태인 한동희 정훈 김준태 신본기 ,4,5,1
2019-04-21,키움,LG,브리검,윌슨,서건창 김하성 박병호 샌즈 장영석 김규민 이지영 김혜성 박정음 ,이천웅 오지환 박용택 김현수 채은성 유강남 김민성 김용의 정주현 ,3,5,1
2019-04-21,NC,SK,박진우,김광현,이상호 박민우 나성범 양의지 박석민 권희동 베탄코트 이우성 지석훈 ,김강민 고종욱 최정 한유섬 정의윤 로맥 이재원 김성현 나주환 ,1,4,1
2019-04-21,삼성,한화,맥과이어,서폴드,이학주 김상수 구자욱 러프 이원석 송준석 강민호 박해민 박계범 ,정은원 오선진 호잉 이성열 송광민 김태균 최재훈 양성우 변우혁 ,16,0,0
2019-04-21,두산,KIA,린드블럼,윌랜드,허경민 페르난데스 박건우 김재환 오재일 박세혁 백동훈 류지혁 정병곤 ,최원준 이명기 안치홍 최형우 김주찬 나지완 김선빈 박찬호 한승택 ,9,2,0
2019-04-21,KT,롯데,쿠에바스,박시영,김민혁 황재균 강백호 로하스 유한준 박경수 윤석민 장성우 심우준 ,전준우 아수아헤 손아섭 이대호 오윤석 정훈 나경민 나종덕 강로한 ,6,3,0
2019-04-23,KIA,LG,양승철,켈리,이창진 이명기 안치홍 최형우 김주찬 김선빈 류승현 한승택 박찬호 ,이천웅 오지환 김현수 채은성 유강남 박용택 김민성 김용의 정주현 ,2,9,1
2019-04-23,두산,키움,이현호,안우진,허경민 페르난데스 박건우 김재환 오재일 박세혁 김재호 류지혁 백동훈 ,이정후 김하성 박병호 샌즈 장영석 서건창 송성문 박동원 김규민 ,9,3,0
2019-04-23,NC,KT,버틀러,금민철,이상호 박민우 나성범 양의지 베탄코트 권희동 지석훈 이우성 노진혁 ,김민혁 황재균 강백호 로하스 유한준 박경수 윤석민 이해창 심우준 ,4,3,0
2019-04-24,KIA,LG,터너,차우찬,이창진 류승현 김주찬 최형우 나지완 김선빈 이명기 한승택 박찬호 ,이천웅 오지환 김현수 채은성 유강남 박용택 김민성 김용의 정주현 ,3,10,1
2019-04-24,두산,키움,후랭코프,요키시,허경민 페르난데스 박건우 김재환 오재일 김재호 박세혁 정병곤 정진호 ,이정후 김하성 박병호 샌즈 장영석 서건창 송성문 이지영 김규민 ,3,8,1
2019-04-24,NC,KT,루친스키,알칸타라,박민우 노진혁 나성범 양의지 베탄코트 권희동 이원재 손시헌 김태진 ,김민혁 황재균 강백호 로하스 유한준 박경수 윤석민 장성우 심우준 ,10,2,0
2019-04-24,롯데,한화,레일리,채드벨,전준우 아수아헤 손아섭 이대호 오윤석 한동희 정훈 김준태 신본기 ,오선진 정은원 송광민 김태균 최진행 노시환 최재훈 김민하 양성우 ,4,5,1
