,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team,Team_1_pitcher_WHIP,Team_1_pitcher_piAn,Team_1_pitcher_piHom,Team_1_pitcher_sam,Team_1_pitcher_ball,Team_1_pitcher_ja,Team_1_pitcher_war,Team_2_pitcher_WHIP,Team_2_pitcher_piAn,Team_2_pitcher_piHom,Team_2_pitcher_sam,Team_2_pitcher_ball,Team_2_pitcher_ja,Team_2_pitcher_war,Team_1_hitter_hit,Team_1_hitter_homrun,Team_1_hitter_sam,Team_1_hitter_ball,Team_1_hitter_deg,Team_1_hitter_ta,Team_1_hitter_chul,Team_1_hitter_do,Team_1_hitter_war,Team_1_hitter_ops,Team_2_hitter_hit,Team_2_hitter_homrun,Team_2_hitter_sam,Team_2_hitter_ball,Team_2_hitter_deg,Team_2_hitter_ta,Team_2_hitter_chul,Team_2_hitter_do,Team_2_hitter_war,Team_2_hitter_ops
10,두산,LG,플렉센,정찬헌,박건우 페르난데스 오재일 김재환 최주환 김재호 박세혁 허경민 정수빈 ,이천웅 정근우 김현수 라모스 채은성 박용택 김민성 유강남 오지환 ,9,3,0,1.09,0.2055084745762712,0.012711864406779662,1.1359724612736661,0.2581755593803787,3.0206540447504304,3.49,1.33,0.2468085106382979,0.02127659574468085,0.7720254314259765,0.2815622161671208,3.5149863760217985,1.48,0.30166666666666675,0.02493913139740865,0.138383162874353,0.013477241244074603,0.15304281275816117,0.1540630430998141,0.30883746221506636,0.6395502645502646,0.6395502645502646,0.6395502645502646,0.27822222222222215,0.029601669495755194,0.18475558852640875,0.0129063516601301,0.1426008803387397,0.16344111086311752,0.28593074419296133,0.5968152218152218,2.285555555555556,0.771
11,한화,SK,장시환,박종훈,정은원 정진호 호잉 이성열 송광민 김태균 하주석 최재훈 이용규 ,정진기 고종욱 최정 로맥 한유섬 정의윤 이재원 김창평 정현 ,8,4,0,1.61,0.230514096185738,0.024875621890547258,0.8698940998487141,0.5597579425113465,5.037821482602118,1.42,1.42,0.211287988422576,0.020260492040520984,0.852959898154042,0.4964990451941439,4.812221514958625,1.95,0.24232615419238687,0.013378542165769978,0.2028375803262885,0.014962228295707918,0.10401358001778367,0.10442343910949692,0.2502061272603693,0.3773073387404888,0.3773073387404888,0.3773073387404888,0.20256666023662562,0.024164987594816136,0.2572398109081712,0.012385802368644977,0.12358758471544411,0.10358935530033862,0.20966690476600566,0.4626289479706533,0.9388888888888888,0.5931563842764063
12,롯데,KT,박세웅,배제성,민병헌 전준우 손아섭 이대호 안치홍 정훈 마차도 한동희 정보근 ,심우준 김민혁 강백호 유한준 로하스 황재균 박경수 장성우 배정대 ,7,3,0,1.52,0.2689969604863222,0.030395136778115506,0.734194425560843,0.3195105370496261,4.711080897348743,2.01,1.46,0.210016155088853,0.019386106623586436,0.5882352941176471,0.5386250885896527,3.9546420978029766,2.63,0.26020786394032935,0.02605344686813068,0.18229320333943452,0.010957261400148074,0.13906970372531846,0.13599340421636316,0.2662197674858894,0.626025352862241,0.626025352862241,0.626025352862241,0.2878888888888889,0.036328696512557795,0.2068730029971188,0.008624156883535425,0.1515142973168969,0.16443478073738482,0.29117764937173723,0.3867715846402973,2.887777777777778,0.814111111111111
13,NC,삼성,구창모,뷰캐넌,박민우 이명기 나성범 양의지 모창민 노진혁 권희동 김태진 김성욱 ,김동엽 구자욱 살라디노 이원석 김상수 이성규 최영진 강민호 박해민 ,8,2,0,0.81,0.16666666666666666,0.020114942528735632,1.0955961331901185,0.1933404940923738,1.7400644468313642,4.61,1.27,0.23626373626373626,0.02197802197802198,0.6946039035591275,0.28702640642939153,3.4615384615384617,4.73,0.2787705986368313,0.03405603187289443,0.19910659175945206,0.018949335323883685,0.16032650670460008,0.15006309131242684,0.28883916480511496,0.5287045818482582,0.5287045818482582,0.5287045818482582,0.2757705986368313,0.03008515562793484,0.20164099203749294,0.01687818341687759,0.1473254195212238,0.14714956384554354,0.2861339454983279,0.4761596418319222,1.9288888888888889,0.763826170533265
14,키움,KIA,최원태,이민우,서건창 김하성 이정후 박병호 박동원 김혜성 모터 임병욱 박준태 ,최원준 박찬호 김선빈 최형우 터커 나지완 유민상 장영석 백용환 ,5,8,1,1.38,0.2405857740585774,0.03347280334728033,0.6090909090909091,0.3363636363636364,5.072727272727271,0.58,1.66,0.2654320987654321,0.022633744855967083,0.6320754716981132,0.4433962264150944,6.7924528301886795,-0.73,0.25622222222222224,0.028313336651928415,0.22256956776600065,0.015042369139169362,0.1562091253350908,0.14526200249382157,0.26531024413320625,0.5654106541606542,0.5654106541606542,0.5654106541606542,0.26021504308127574,0.02721118881447494,0.20639290787253986,0.016033431165036763,0.13470358076261138,0.13939671709716456,0.2701776832069781,0.17242171782545604,2.2133333333333334,0.7387150594221538
15,KT,두산,소형준,유희관,심우준 김민혁 강백호 유한준 로하스 황재균 박경수 장성우 배정대 ,박건우 페르난데스 오재일 김재환 최주환 김재호 박세혁 허경민 정수빈 ,12,3,0,1.4,0.2465034965034965,0.01048951048951049,0.6917293233082706,0.3383458646616541,3.8571428571428568,2.35,1.68,0.3054662379421222,0.022508038585209004,0.41146216017634096,0.28655400440852313,5.025716385011021,0.14,0.2878888888888889,0.036328696512557795,0.2068730029971188,0.008624156883535425,0.1515142973168969,0.16443478073738482,0.29117764937173723,0.3867715846402973,0.3867715846402973,0.3867715846402973,0.30166666666666675,0.02493913139740865,0.138383162874353,0.013477241244074603,0.15304281275816117,0.1540630430998141,0.30883746221506636,0.6395502645502646,3.346666666666667,0.8119999999999999
16,한화,키움,장민재,이승호,정은원 정진호 호잉 이성열 송광민 김태균 오선진 이해창 이용규 ,서건창 김하성 이정후 박병호 박동원 김규민 모터 임병욱 이지영 ,3,5,1,1.73,0.3220973782771536,0.018726591760299626,0.5604203152364273,0.2276707530647986,6.777583187390543,-0.19,1.45,0.2553191489361702,0.029013539651837526,0.6175972927241963,0.33840947546531297,5.101522842639594,1.09,0.2323261541923869,0.0154908331790256,0.20422525498023603,0.014039972156769331,0.09903972840029102,0.10526923506959894,0.2395241185046422,0.2884184498515998,0.2884184498515998,0.2884184498515998,0.25455555555555553,0.026249170071102217,0.20026798409427038,0.011334208097159135,0.13851046102529002,0.14486280429807322,0.2608961356038682,0.5526791726791728,2.0999999999999996,0.7196666666666667
17,KIA,삼성,가뇽,최채흥,박찬호 황윤호 김선빈 터커 최형우 나지완 유민상 한승택 최원준 ,박해민 김동엽 구자욱 살라디노 김상수 이원석 김헌곤 김응민 이성규 ,0,5,1,1.42,0.2307692307692308,0.009971509971509971,0.885678391959799,0.4020100502512563,4.353015075376884,2.87,1.25,0.2123176661264181,0.019448946515397084,0.8424657534246576,0.3493150684931507,3.5753424657534247,3.4,0.2735483764146091,0.025530961470530782,0.19028252350637476,0.015399054281730391,0.13521997051679732,0.142212374494609,0.2819255011326329,0.28353282893656717,0.28353282893656717,0.28353282893656717,0.2641039319701647,0.024354717395658268,0.21282297914006376,0.016221747911185903,0.13932771497394064,0.1383908588766457,0.2733058860609744,0.49653001220229265,1.4855555555555555,0.7178261705332649
18,SK,롯데,문승원,노경은,정진기 고종욱 최정 로맥 한유섬 채태인 이현석 김창평 정현 ,민병헌 전준우 손아섭 이대호 안치홍 정훈 마차도 신본기 김준태 ,8,9,1,1.24,0.22295081967213115,0.02131147540983606,0.8057851239669422,0.30991735537190085,3.65702479338843,3.88,1.35,0.2421602787456446,0.03310104529616725,0.5789473684210527,0.3007518796992481,4.87218045112782,1.69,0.22477059863683127,0.02890280788227659,0.2511712665014813,0.012664863403607436,0.11752411796152813,0.11405876514694128,0.23221419658194684,0.5274672714004214,0.5274672714004214,0.5274672714004214,0.26288170974794245,0.024582913349934326,0.17101153123878024,0.010196900190533837,0.14646421379502936,0.14042414770521394,0.2685745173429991,0.7673291252328635,1.9955555555555557,0.7270483927554872
19,LG,NC,윌슨,이재학,이천웅 정근우 김현수 라모스 채은성 박용택 김민성 유강남 오지환 ,박민우 이명기 나성범 양의지 모창민 노진혁 권희동 김태진 김성욱 ,5,13,1,1.38,0.2563694267515924,0.020700636942675158,0.7558945908460473,0.2704576976421637,4.431345353675451,1.08,1.63,0.25609756097560976,0.03414634146341464,0.6762749445676275,0.4767184035476718,6.585365853658537,-0.5,0.27822222222222215,0.029601669495755194,0.18475558852640875,0.0129063516601301,0.1426008803387397,0.16344111086311752,0.28593074419296133,0.5968152218152218,0.5968152218152218,0.5968152218152218,0.2787705986368313,0.03405603187289443,0.19910659175945206,0.018949335323883685,0.16032650670460008,0.15006309131242684,0.28883916480511496,0.5287045818482582,2.514444444444445,0.7896039483110427
