순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
71,김준태,20롯C,0.96,128,369,306,38,69,12,2,5,100,43,2,2,56,1,0,64,5,3,3,.225,.344,.327,.671,.318,81.7,0.96,0.11
72,채태인,20SDH,0.87,70,188,159,11,45,5,0,7,71,24,0,0,29,0,2,33,4,0,0,.283,.394,.447,.840,.382,122.7,0.87,-0.38
73,노시환,20한3B,0.85,107,387,346,46,76,18,2,12,134,43,0,1,33,6,1,116,8,1,1,.220,.298,.387,.685,.310,78.7,0.85,-2.10
74,하주석,20한SS,0.85,72,281,262,22,75,11,0,2,92,32,4,1,13,2,0,66,3,2,2,.286,.323,.351,.674,.312,81.2,0.85,-0.50
75,김웅빈,20키1B,0.77,73,235,207,25,57,13,0,8,94,31,1,0,17,3,1,65,6,5,3,.275,.335,.454,.789,.344,104.8,0.77,0.14
76,정은원,20한2B,0.74,78,298,250,27,61,9,1,2,78,25,1,1,40,5,0,40,4,2,1,.244,.358,.312,.670,.324,88.3,0.74,-0.44
77,전병우,20키3B,0.71,117,394,351,43,82,13,3,8,125,47,7,0,37,2,0,98,7,2,2,.234,.309,.356,.665,.306,77.7,0.71,0.18
78,이창진,20KCF,0.71,22,99,88,19,29,8,1,0,39,7,0,1,10,1,0,17,2,0,0,.330,.404,.443,.847,.392,130.3,0.71,0.16
79,김성현,20SSS,0.66,131,385,337,34,92,9,1,2,109,24,1,1,30,5,0,26,10,11,2,.273,.340,.323,.663,.307,75.7,0.66,-1.30
80,오태곤,20KSLF,0.65,92,254,231,33,62,11,1,5,90,33,15,6,13,6,0,46,6,4,0,.268,.324,.390,.714,.323,85.4,0.65,0.03
81,류지혁,20두K3B,0.63,25,51,42,13,16,3,0,1,22,5,1,1,1,5,0,6,3,1,2,.381,.440,.524,.964,.425,155.7,0.63,0.19
82,이천웅,20LCF,0.62,87,350,303,42,78,11,2,3,102,36,8,5,35,4,0,41,7,2,6,.257,.336,.337,.673,.315,83.5,0.62,-0.79
83,최항,20S2B,0.62,47,155,132,21,35,3,0,2,44,15,1,0,21,1,1,27,3,0,1,.265,.368,.333,.701,.334,92.8,0.62,-0.09
84,유한준,20KDH,0.61,117,420,379,47,106,17,0,11,156,63,0,0,39,0,2,50,9,1,1,.280,.346,.412,.758,.345,99.5,0.61,0.72
85,김강민,20SCF,0.60,120,318,280,37,68,11,0,11,112,41,7,5,27,4,2,61,9,5,2,.243,.316,.400,.716,.318,80.7,0.60,-0.06
86,강한울,20삼SS,0.55,34,122,105,13,32,3,0,1,38,10,1,0,11,0,0,24,3,5,1,.305,.368,.362,.729,.330,90.8,0.55,0.45
87,강태율,20롯C,0.55,14,18,11,2,5,0,0,2,11,2,0,0,7,0,0,2,1,0,0,.455,.667,1.000,1.667,.661,305.1,0.55,0.03
88,김형준,20NC,0.52,43,80,70,12,20,1,0,3,30,11,0,0,10,0,0,21,1,0,0,.286,.375,.429,.804,.370,115.1,0.52,-0.23
89,김태군,20NC,0.51,79,131,113,16,33,6,0,1,42,18,0,0,6,4,0,14,3,7,1,.292,.347,.372,.719,.318,81.5,0.51,0.29
90,백용환,20KC,0.51,51,106,91,12,20,4,0,5,39,10,0,0,14,0,0,29,2,1,0,.220,.324,.429,.752,.336,93.2,0.51,-0.10
91,나주환,20K3B,0.50,64,222,204,21,57,5,0,6,80,26,0,0,12,1,0,44,6,4,1,.279,.321,.392,.713,.320,82.7,0.50,-0.47
92,한승택,20KC,0.50,83,262,226,22,51,6,0,9,84,29,0,0,21,6,0,58,7,9,0,.226,.308,.372,.680,.303,71.4,0.50,-0.17
93,유민상,20K1B,0.48,126,455,390,38,96,23,0,8,143,65,0,0,53,6,1,80,13,2,4,.246,.342,.367,.709,.329,89.0,0.48,0.98
94,황대인,20K1B,0.47,63,138,116,14,32,4,0,4,48,16,0,0,21,0,0,29,5,0,1,.276,.384,.414,.798,.370,115.2,0.47,0.51
95,이해창,20한C,0.47,70,135,119,11,32,5,0,3,46,17,0,2,9,4,0,23,6,1,2,.269,.336,.387,.722,.330,92.8,0.47,-0.29
96,이유찬,20두3B,0.45,99,106,87,30,22,2,1,0,26,6,13,4,14,2,0,25,2,2,1,.253,.365,.299,.664,.319,84.6,0.45,-0.12
