순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
82,류희운,18K,0.68,29,0,0,2,1,1,0,1,44.0,25,24,195,53,11,0,11,14,0,2,28,0,3,4.91,6.90,1.52,107.9,75.1,0.68,-0.28
83,임현준,18삼,0.65,40,0,0,0,0,1,0,3,27.2,12,12,116,20,4,1,3,11,1,5,26,0,0,3.90,4.99,1.12,135.9,104.8,0.65,0.18
84,심재민,18K,0.64,44,0,0,0,4,5,2,3,41.0,25,21,179,47,5,2,5,17,3,2,36,0,4,4.61,4.83,1.56,115.0,107.8,0.64,-1.13
85,윤길현,18롯,0.63,32,0,0,0,1,2,0,4,33.0,18,17,145,33,6,2,4,15,0,0,29,0,2,4.64,5.02,1.46,112.5,104.4,0.63,-0.34
86,박신지,18두,0.61,17,0,0,0,1,2,0,0,21.0,7,7,88,14,3,0,4,9,0,1,16,0,3,3.00,6.21,1.10,168.5,80.3,0.61,-0.85
87,김승현,18삼,0.57,28,0,0,0,1,3,0,2,32.1,18,16,158,48,8,1,3,15,2,5,29,0,3,4.45,4.92,1.95,119.1,106.3,0.57,-0.83
88,이승진,18S,0.56,34,0,0,2,0,1,0,0,41.1,25,21,189,41,6,0,6,20,1,4,37,0,6,4.57,5.60,1.48,115.0,94.4,0.56,-0.65
89,이승호,18넥,0.55,32,0,0,4,1,3,0,4,45.0,28,28,203,44,9,0,8,22,1,5,38,0,8,5.60,6.19,1.47,92.0,82.3,0.55,-0.34
90,이상화,18K,0.54,11,0,0,0,0,0,2,3,10.1,3,3,43,6,1,1,0,5,0,1,14,0,2,2.61,2.87,1.07,202.8,182.3,0.54,-0.41
91,채병용,18S,0.51,29,0,0,0,2,1,1,3,30.0,16,16,128,33,5,0,8,8,0,1,15,0,0,4.80,7.20,1.37,109.5,73.9,0.51,-0.05
92,안영명,18한,0.51,53,0,0,1,8,2,0,8,66.0,44,42,291,83,10,0,12,15,1,4,48,1,4,5.73,5.56,1.49,92.5,96.2,0.51,0.53
93,정인욱,18삼,0.49,19,0,0,0,1,0,0,0,31.0,17,12,137,31,7,1,3,9,0,3,27,0,1,3.48,4.51,1.29,152.3,115.9,0.49,-0.10
94,장시환,18롯,0.49,32,0,0,0,1,0,0,2,36.2,23,19,174,39,4,2,5,19,0,3,44,0,2,4.66,5.01,1.58,111.8,104.6,0.49,-0.14
95,김건국,18롯,0.47,5,0,0,1,1,0,0,0,10.2,3,3,41,11,2,0,1,0,0,1,9,0,0,2.53,3.65,1.03,206.1,143.1,0.47,0.18
96,최성훈,18L,0.46,24,0,0,0,0,0,0,3,16.2,7,7,74,17,4,0,4,9,1,1,14,0,2,3.78,6.89,1.56,133.5,71.7,0.46,-0.61
97,한승혁,18K,0.44,21,0,0,19,7,3,0,0,88.0,62,57,406,105,18,3,8,44,1,4,65,0,16,5.83,5.14,1.69,88.0,100.4,0.44,-1.58
98,최성영,18N,0.44,28,0,0,8,2,2,1,0,64.1,43,42,282,66,14,0,11,25,1,4,57,0,6,5.88,5.59,1.42,88.3,94.1,0.44,-0.31
99,이형범,18N,0.43,23,0,0,4,1,1,0,0,54.0,36,31,238,62,11,0,5,24,2,1,22,0,3,5.17,5.50,1.59,100.5,95.5,0.43,-0.42
100,임기영,18K,0.42,29,0,0,19,8,9,0,2,105.0,79,73,491,145,24,0,20,34,2,12,68,0,2,6.26,6.27,1.71,82.0,82.2,0.42,-1.61
101,배재준,18L,0.41,16,0,0,5,1,0,0,0,38.2,24,19,174,34,11,1,3,20,0,1,41,0,3,4.42,4.35,1.40,114.1,115.9,0.41,-0.48
102,임찬규,18L,0.41,29,0,0,27,11,11,1,0,146.2,104,94,680,195,32,1,23,47,1,13,125,0,6,5.77,5.37,1.65,87.5,92.6,0.41,-2.78
103,윤성빈,18롯,0.39,18,0,0,10,2,5,0,0,50.2,36,36,235,51,12,0,5,36,0,3,65,0,5,6.39,4.86,1.72,81.6,107.7,0.39,-0.98
104,김범수,18한,0.37,55,0,0,3,4,4,0,7,48.1,33,31,223,52,8,0,7,29,0,1,54,0,8,5.77,5.34,1.68,91.8,100.3,0.37,-0.17
105,김지용,18L,0.36,48,0,0,0,5,6,1,13,47.0,30,28,198,52,9,1,10,9,1,2,42,0,1,5.36,5.45,1.30,94.1,90.3,0.36,-1.45
106,송승준,18롯,0.36,22,0,0,15,3,4,0,0,79.0,58,54,361,93,23,2,8,35,0,4,68,0,5,6.15,4.91,1.62,84.8,106.4,0.36,-2.06
107,윤영삼,18넥,0.36,22,0,0,0,1,0,2,0,29.2,18,16,127,31,7,0,2,8,1,1,32,0,1,4.85,3.36,1.32,106.2,152.4,0.36,0.21
108,이현승,18두,0.35,39,0,0,0,1,0,0,6,30.2,18,17,140,39,9,2,4,14,1,1,21,0,0,4.99,5.53,1.73,101.3,91.0,0.35,0.02
109,김정후,18두,0.35,13,0,0,0,0,1,0,0,17.1,8,7,75,12,3,0,3,12,0,1,12,0,0,3.63,6.95,1.39,139.1,72.3,0.35,-0.44
110,김태훈,18넥,0.35,33,0,0,3,2,2,2,1,47.2,33,32,218,61,12,1,10,18,0,4,36,0,2,6.04,6.43,1.66,85.3,79.0,0.35,-1.21
111,김민,18K,0.35,9,0,0,9,4,2,0,0,37.1,26,21,178,40,10,0,4,25,0,6,25,0,5,5.06,6.38,1.74,104.7,81.4,0.35,-0.63
112,배민관,18L,0.34,8,0,0,0,0,0,0,0,11.0,2,2,51,9,3,0,0,4,0,2,11,0,3,1.64,3.47,1.18,308.3,148.9,0.34,0.02
113,김사율,18K,0.34,29,0,0,3,1,2,0,0,45.1,32,29,204,56,14,1,12,10,1,2,35,0,4,5.76,6.46,1.46,92.0,80.3,0.34,-0.87
114,여건욱,18L,0.30,18,0,0,1,0,0,0,0,22.2,13,12,103,27,9,0,1,8,1,4,15,0,3,4.76,4.54,1.54,105.9,112.5,0.30,-0.15
115,조상우,18넥,0.28,18,0,0,0,1,2,9,0,19.0,11,8,78,16,4,1,1,6,0,2,23,0,0,3.79,3.36,1.16,136.0,152.7,0.28,-0.80
116,이현호,18두,0.27,15,0,0,2,0,0,1,0,28.0,19,19,134,37,6,0,4,13,0,1,23,0,1,6.11,5.55,1.79,82.8,90.4,0.27,-0.15
117,박정배,18S,0.27,49,0,0,0,1,3,9,2,44.2,30,29,197,51,15,0,9,12,2,2,44,0,1,5.84,5.29,1.41,90.0,101.1,0.27,-2.40
118,홍상삼,18두,0.25,17,0,0,0,1,0,0,0,14.2,7,7,66,13,3,1,1,12,1,2,13,0,5,4.30,5.61,1.71,117.7,90.8,0.25,-0.14
119,김영준,18L,0.25,14,0,0,2,2,1,0,0,20.2,12,10,100,19,0,0,3,15,0,3,16,0,3,4.35,6.79,1.65,115.8,74.0,0.25,-0.21
120,권혁,18한,0.23,16,0,0,0,1,1,0,3,11.0,6,6,44,9,1,0,2,4,0,0,11,0,1,4.91,5.29,1.18,107.9,101.5,0.23,-0.19
121,이상민,18넥,0.22,4,0,0,0,0,0,0,0,4.2,0,0,16,3,1,0,0,1,0,0,2,0,0,0.00,3.62,0.86,,143.6,0.22,0.09
122,서균,18한,0.21,56,0,0,0,1,1,1,10,37.1,26,24,168,39,3,0,7,16,0,7,22,0,3,5.79,6.94,1.47,91.6,76.8,0.21,-0.00
123,전유수,18S,0.20,16,0,0,0,0,1,0,0,18.0,11,11,81,21,5,0,3,8,0,2,15,0,0,5.50,6.00,1.61,95.6,88.1,0.20,-0.47
124,윤규진,18한,0.18,18,0,0,17,2,6,0,0,84.0,63,55,381,99,22,2,14,30,0,6,81,0,3,5.89,5.36,1.54,89.9,100.0,0.18,-1.53
125,송창식,18한,0.18,12,0,0,0,1,0,0,1,12.2,7,7,58,15,4,0,2,4,0,1,8,0,3,4.97,5.81,1.50,106.5,91.8,0.18,-0.00
126,장원삼,18삼,0.18,8,0,0,8,3,1,0,0,38.0,27,26,173,47,13,1,4,13,0,1,27,0,1,6.16,4.89,1.58,86.1,107.2,0.18,-0.43
127,고창성,18K,0.18,42,0,0,0,2,0,0,5,37.2,29,28,183,57,7,0,7,11,1,5,23,0,1,6.69,6.22,1.81,79.2,83.3,0.18,-0.93
128,엄상백,18K,0.17,55,0,0,0,1,8,2,12,46.1,33,28,211,51,9,1,4,17,5,8,44,0,3,5.44,4.35,1.47,97.4,119.7,0.17,-1.17
129,김종수,18한,0.17,3,0,0,0,0,0,0,0,5.0,1,1,18,3,0,0,1,0,0,0,1,0,0,1.80,6.03,0.60,294.4,88.3,0.17,-0.02
130,임준섭,18한,0.16,10,0,0,0,1,0,0,0,8.1,4,4,34,8,2,0,1,6,0,1,6,0,0,4.32,6.47,1.68,122.7,82.2,0.16,-0.00
131,정성종,18롯,0.16,10,0,0,0,0,1,0,0,19.0,13,13,85,19,3,0,2,8,0,1,12,0,2,6.16,5.36,1.42,84.7,97.4,0.16,-0.47
132,이민호,18N,0.16,50,0,0,0,5,4,14,0,50.0,34,26,224,52,9,0,8,19,1,3,42,1,2,4.68,5.49,1.42,110.9,95.8,0.16,-1.93
133,배우열,18K,0.15,5,0,0,0,0,0,0,0,5.2,2,1,28,7,1,0,0,3,0,0,9,0,0,1.59,2.25,1.77,333.6,234.8,0.15,0.00
134,정수민,18N,0.14,25,0,0,7,2,5,0,1,58.0,43,39,278,69,8,2,10,33,0,3,38,0,7,6.05,6.63,1.76,85.8,79.5,0.14,-1.15
135,박준표,18K,0.14,1,0,0,0,0,0,0,0,2.0,0,0,8,0,0,0,0,2,0,0,2,0,0,0.00,4.83,1.00,,106.8,0.14,0.10
136,배장호,18롯,0.14,25,0,0,0,1,1,0,0,24.1,18,16,112,29,9,1,3,10,2,2,13,0,0,5.92,5.60,1.60,88.1,93.1,0.14,-1.04
137,오주원,18넥,0.14,61,0,0,0,3,6,1,15,52.1,37,36,226,61,11,0,8,13,3,1,36,0,1,6.19,5.08,1.41,83.2,100.3,0.14,-1.21
138,남윤성,18S,0.14,6,0,0,0,0,1,0,0,8.2,5,5,40,12,1,0,1,4,0,0,3,0,0,5.19,6.03,1.85,101.3,87.1,0.14,-0.29
139,서진용,18S,0.12,48,0,0,0,3,2,1,12,50.0,36,34,225,52,8,2,14,23,3,2,58,0,4,6.12,6.47,1.50,85.9,82.9,0.12,-0.01
140,정동윤,18S,0.12,2,0,0,0,0,0,0,0,2.2,1,1,11,3,0,0,1,1,0,0,3,0,0,3.38,7.58,1.50,155.8,70.9,0.12,-0.09
141,배제성,18K,0.11,3,0,0,0,0,0,0,0,4.0,1,0,17,3,2,0,0,1,0,0,2,0,0,0.00,3.58,1.00,,145.5,0.11,0.00
142,김재균,18N,0.11,4,0,0,1,0,0,0,0,5.2,3,2,29,3,0,1,0,9,0,0,4,0,0,3.18,7.19,2.12,163.4,73.2,0.11,-0.18
143,전인환,18L,0.10,5,0,0,0,0,0,0,0,5.2,3,3,25,7,1,0,0,3,0,0,4,0,0,4.76,4.01,1.77,105.9,128.7,0.10,-0.00
144,김태오,18K,0.10,8,0,0,4,1,2,0,0,21.0,16,14,102,32,7,1,4,9,0,2,14,0,0,6.00,6.55,1.95,88.3,79.2,0.10,-0.53
145,김정훈,18N,0.07,21,0,0,9,2,3,0,0,53.0,38,32,247,60,11,1,7,24,0,7,39,1,3,5.43,5.83,1.59,95.5,90.1,0.07,-0.73
146,정용운,18K,0.06,3,0,0,3,1,0,0,0,10.0,7,7,45,10,0,0,1,8,0,0,5,0,1,6.30,6.53,1.80,81.5,78.9,0.06,-0.18
