,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점,선수WAR
84,김세현,1.6,0.16666666666666666,0.2826086956521739,0.017391304347826087,0.94,0.3,5.4,0.51
85,박상원,1.2,,0.21839080459770116,0.034482758620689655,0.6132075471698113,0.33018867924528306,4.245283018867925,0.5
86,김대현,1.35,0.4166666666666667,0.23929471032745592,0.0327455919395466,0.5212765957446809,0.3404255319148936,5.361702127659575,0.49
87,안영명,1.72,0.1111111111111111,0.3,0.026829268292682926,0.6192660550458715,0.3211009174311926,5.779816513761467,0.49
88,윤영삼,1.69,0.2,0.2925764192139738,0.034934497816593885,0.9349593495934959,0.34552845528455284,5.670731707317072,0.48
89,김성배,1.27,0.6666666666666666,0.24479166666666666,0.041666666666666664,0.75,0.20454545454545456,5.318181818181818,0.48
90,이형범,1.33,0.3333333333333333,0.20634920634920634,0.015873015873015872,0.4810996563573883,0.4467353951890034,3.092783505154639,0.47
91,임정우,1.2,,0.2,0.014285714285714285,1.0493827160493827,0.3703703703703704,2.7777777777777777,0.44
92,윤지웅,1.4,0.5,0.2532467532467532,0.025974025974025976,0.6285714285714286,0.2857142857142857,3.857142857142857,0.44
93,이민우,1.11,0.5,0.2641509433962264,0.03773584905660377,0.7377049180327869,0.0,2.9508196721311477,0.43
94,윤근영,1.56,,0.2948717948717949,0.05128205128205128,0.6111111111111112,0.2777777777777778,3.5,0.42
95,이동현,1.22,0.3333333333333333,0.24644549763033174,0.018957345971563982,0.7768924302788844,0.199203187250996,4.840637450199203,0.4
96,김재윤,1.39,0.375,0.2546583850931677,0.006211180124223602,0.8355795148247979,0.29649595687331537,5.82210242587601,0.4
97,고우석,1.58,,0.2542372881355932,0.01694915254237288,0.8846153846153846,0.4230769230769231,4.5,0.39
98,홍성용,1.56,0.0,0.25,0.03977272727272727,0.5641025641025641,0.4358974358974359,6.230769230769231,0.37
99,정재원,1.62,0.0,0.23232323232323232,0.0,0.42857142857142855,0.5238095238095238,3.4285714285714284,0.35
100,장원삼,1.68,0.4444444444444444,0.3096774193548387,0.025806451612903226,0.819672131147541,0.2533532041728763,5.633383010432191,0.34
101,페트릭,1.69,0.23076923076923078,0.28109854604200324,0.029079159935379646,0.6492537313432836,0.3880597014925373,6.17910447761194,0.32
102,강승현,1.49,0.0,0.25149700598802394,0.023952095808383235,1.0498687664041995,0.39370078740157477,5.905511811023622,0.31
103,이승현,1.83,1.0,0.23076923076923078,0.057692307692307696,0.8012820512820513,0.7051282051282052,5.1923076923076925,0.3
104,김지용,1.38,0.5714285714285714,0.251063829787234,0.05531914893617021,0.7358490566037735,0.2641509433962264,5.09433962264151,0.3
105,서균,1.4,,0.265625,0.03125,0.7092198581560284,0.2127659574468085,4.468085106382979,0.3
106,주권,1.62,0.45454545454545453,0.26649076517150394,0.0395778364116095,0.5788177339901478,0.3817733990147783,6.650246305418719,0.3
107,최성훈,1.64,,0.23148148148148148,0.018518518518518517,0.7272727272727273,0.5,4.090909090909091,0.3
108,임정호,1.45,1.0,0.22388059701492538,0.022388059701492536,1.096345514950166,0.46511627906976744,4.485049833887043,0.29
109,윤수호,1.51,0.6666666666666666,0.19248826291079812,0.014084507042253521,0.8936170212765957,0.6382978723404256,5.361702127659575,0.28
110,강장산,1.6,,0.2231404958677686,0.024793388429752067,0.6130268199233716,0.5747126436781609,5.517241379310344,0.27
111,김승현,1.95,0.0,0.2372093023255814,0.03255813953488372,0.8564814814814814,0.787037037037037,5.833333333333333,0.25
112,이정민,1.54,0.75,0.2711864406779661,0.0423728813559322,0.41984732824427484,0.3435114503816794,5.4961832061068705,0.24
113,류제국,1.49,0.5714285714285714,0.23688663282571912,0.01692047377326565,0.8161708619374524,0.4195270785659802,5.354691075514874,0.24
114,이영하,1.65,0.5,0.26875,0.05,0.7386363636363635,0.45454545454545453,5.624999999999999,0.24
115,윤희상,1.52,0.46153846153846156,0.27695167286245354,0.02973977695167286,0.6833333333333333,0.275,6.0,0.22
116,진명호,1.2,,0.05,0.0,1.4,1.0,0.0,0.22
117,여건욱,2.1,,0.23529411764705882,0.0,0.9677419354838709,0.9677419354838709,0.0,0.22
118,우규민,1.38,0.4117647058823529,0.272419627749577,0.032148900169204735,0.7518796992481203,0.17293233082706766,5.2105263157894735,0.2
