,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점
57,장민재,1.43,0.75,0.23308270676691728,0.02631578947368421,0.7094594594594594,0.3885135135135135,4.712837837837838
58,권오준,1.27,0.75,0.2275132275132275,0.037037037037037035,1.2064965197215778,0.27842227378190254,3.967517401392111
59,김강률,1.26,1.0,0.22712933753943218,0.022082018927444796,1.0657894736842106,0.3157894736842105,4.618421052631579
60,김재영,1.55,0.6,0.27037773359840955,0.02982107355864811,0.504050405040504,0.33303330333033304,5.6705670567056705
61,양현,1.35,0.5,0.23484848484848486,0.030303030303030304,0.6211180124223602,0.40372670807453415,3.633540372670807
62,정성곤,1.4,1.0,0.22115384615384615,0.028846153846153848,0.954356846473029,0.45643153526970953,2.987551867219917
63,김상수,1.37,0.4,0.2217573221757322,0.03765690376569038,1.2318840579710144,0.41666666666666663,5.217391304347826
64,문경찬,1.43,0.0,0.25833333333333336,0.041666666666666664,0.8348457350272233,0.308529945553539,4.7368421052631575
65,해커,1.46,0.625,0.24641833810888253,0.045845272206303724,0.7070707070707071,0.3787878787878788,5.2272727272727275
66,이보근,1.31,0.5384615384615384,0.2509505703422053,0.022813688212927757,0.8852459016393442,0.22950819672131148,4.278688524590164
67,원종현,1.55,0.3333333333333333,0.28363636363636363,0.025454545454545455,0.561622464898596,0.343213728549142,5.195007800312013
68,이종혁,1.61,0.0,0.2837209302325581,0.018604651162790697,0.6444906444906445,0.3534303534303534,4.6777546777546775
69,유승철,1.65,1.0,0.22272727272727272,0.022727272727272728,0.9341825902335457,0.6157112526539278,4.394904458598726
70,박희수,1.52,0.3333333333333333,0.23972602739726026,0.00684931506849315,0.9090909090909091,0.45454545454545453,3.272727272727273
71,차우찬,1.51,0.5454545454545454,0.23228346456692914,0.03543307086614173,0.8,0.4647058823529412,6.088235294117647
72,배재환,1.72,0.5,0.21893491124260356,0.03550295857988166,0.9444444444444444,0.6944444444444444,4.5
73,최채흥,1.36,0.8,0.25,0.041666666666666664,0.8928571428571429,0.2857142857142857,3.2142857142857144
74,황인준,1.33,0.75,0.25327510917030566,0.039301310043668124,0.6704980842911877,0.22988505747126436,5.0
75,김성훈,1.3,0.0,0.211864406779661,0.01694915254237288,1.0294117647058825,0.40441176470588236,3.639705882352941
76,팻딘,1.55,0.46153846153846156,0.29591836734693877,0.0391156462585034,0.7823392718822618,0.209140201394268,6.274206041828041
77,윤희상,1.22,0.3333333333333333,0.26066350710900477,0.037914691943127965,0.8627450980392157,0.13725490196078433,5.117647058823529
78,박진우,1.17,1.0,0.225,0.025,0.78125,0.2604166666666667,3.75
79,홍성용,1.44,0.6666666666666666,0.24257425742574257,0.034653465346534656,0.9333333333333333,0.35555555555555557,5.4
80,최동환,1.19,1.0,0.21153846153846154,0.038461538461538464,0.7567567567567568,0.2972972972972973,4.621621621621622
81,류희운,1.52,0.5,0.2717948717948718,0.05641025641025641,0.6363636363636364,0.3181818181818182,4.909090909090909
82,임현준,1.12,0.0,0.1724137931034483,0.02586206896551724,0.9558823529411765,0.40441176470588236,3.9705882352941178
83,심재민,1.56,0.4444444444444444,0.26256983240223464,0.027932960893854747,0.8780487804878049,0.4146341463414634,4.609756097560975
84,윤길현,1.46,0.3333333333333333,0.22758620689655173,0.027586206896551724,0.8787878787878788,0.45454545454545453,4.636363636363637
85,박신지,1.1,0.3333333333333333,0.1590909090909091,0.045454545454545456,0.7619047619047619,0.42857142857142855,3.0
86,김승현,1.95,0.25,0.3037974683544304,0.0189873417721519,0.9034267912772586,0.4672897196261682,4.485981308411215
87,이승진,1.48,0.0,0.21693121693121692,0.031746031746031744,0.9002433090024331,0.48661800486618,4.598540145985401
88,이승호,1.47,0.25,0.21674876847290642,0.03940886699507389,0.8444444444444444,0.4888888888888889,5.6
89,이상화,1.07,,0.13953488372093023,0.0,1.3861386138613863,0.49504950495049505,2.6732673267326734
90,채병용,1.37,0.6666666666666666,0.2578125,0.0625,0.5,0.26666666666666666,4.8
91,안영명,1.49,0.8,0.2852233676975945,0.041237113402061855,0.7272727272727273,0.22727272727272727,5.7272727272727275
92,정인욱,1.29,1.0,0.22627737226277372,0.021897810218978103,0.8709677419354839,0.2903225806451613,3.4838709677419355
93,장시환,1.58,1.0,0.22413793103448276,0.028735632183908046,1.2154696132596685,0.5248618784530387,4.723756906077348
